Borough,Inner or Outer,Population,Area (Hectares),Population Density,Average Age,Aged 0 to 15,Working Age,Aged Over 65,Youth Unemployment,Median House Price,Rented Local Authority,Rented Private Landlord,Percentage Green Space,Life Satisfaction ,Worthwhileness,Happiness,Anxiety
City of London,Inner London,8800,290,30.3,43.2,11.4,73.1,15.5,1.6,799999,,,4.8,6.6,7.1,6.0,5.6
Barking and Dagenham,Outer London,209000,"3,611",57.9,32.9,27.2,63.1,9.7,4.5,243500,35.9,20.3,33.6,7.1,7.6,7.1,3.1
Barnet,Outer London,389600,"8,675",44.9,37.3,21.1,64.9,14,1.9,445000,11.1,31.1,41.3,7.5,7.8,7.4,2.8
Bexley,Outer London,244300,"6,058",40.3,39,20.6,62.9,16.6,2.9,275000,15.2,11.4,31.7,7.4,7.7,7.2,3.3
Brent,Outer London,332100,"4,323",76.8,35.6,20.9,67.8,11.3,3.1,407250,20.4,34.8,21.9,7.3,7.4,7.2,2.9
Bromley,Outer London,327900,"15,013",21.8,40.2,19.9,62.6,17.5,2.5,374975,13.2,14.1,57.8,7.5,7.9,7.4,3.3
Camden,Inner London,242500,"2,179",111.3,36.4,17.3,71,11.7,3.6,700000,34.4,32.0,24.8,7.1,7.4,7.1,3.6
Croydon,Outer London,386500,"8,650",44.7,37,22,64.9,13,4.8,300000,16.7,18.6,37.1,7.1,7.6,7.2,3.3
Ealing,Outer London,351600,"5,554",63.3,36.2,21.4,66.8,11.8,3.0,430000,14.3,35.0,30.9,7.3,7.6,7.3,3.6
Enfield,Outer London,333000,"8,083",41.2,36.3,22.8,64.4,12.8,3.3,320000,17.2,21.0,45.6,7.3,7.6,7.3,2.6
Greenwich,Outer London,280100,"4,733",59.2,35,21.9,67.7,10.4,5.4,340000,34.2,19.7,34.4,7.2,7.6,7.2,3.4
Hackney,Inner London,274300,"1,905",144.0,33.1,20.7,72.1,7.2,4.8,485000,45.4,23.3,23.2,7.0,7.3,7.0,3.8
Hammersmith and Fulham,Inner London,185300,"1,640",113.0,35.7,17.4,72.3,10.3,2.2,730000,25.9,33.1,19.1,7.4,7.5,7.2,3.1
Haringey,Inner London,278000,"2,960",93.9,35.1,20,70.7,9.3,5.6,432500,33.4,23.9,25.5,7.2,7.5,7.2,3.2
Harrow,Outer London,252300,"5,046",50.0,38.3,20.5,64.5,15,2.4,396150,8.9,24.6,34.6,7.3,7.4,7.3,2.7
Havering,Outer London,254300,"11,235",22.6,40.3,19.3,62.3,18.4,3.3,287500,17.2,13.8,59.3,7.4,7.7,7.2,3.3
Hillingdon,Outer London,301000,"11,570",26.0,36.4,21.3,65.6,13.1,2.5,350000,16.6,28.2,49.2,7.4,7.7,7.3,3.5
Hounslow,Outer London,274200,"5,598",49.0,35.8,21.1,67.6,11.3,2.9,355000,19.2,28.3,39.6,7.3,7.6,7.4,3.4
Islington,Inner London,231200,"1,486",155.6,34.8,15.9,75.3,8.8,4.5,583000,35.3,25.5,12.4,7.2,7.4,7.1,3.7
Kensington and Chelsea,Inner London,159000,"1,212",131.1,39.3,16.4,69.3,14.3,3.4,1200000,29.1,33.1,15.1,7.6,7.8,7.6,3.1
Kingston upon Thames,Outer London,175400,"3,726",47.1,37.1,19.6,67.2,13.2,2.0,410000,10.7,22.4,36.4,7.3,7.7,7.4,3.3
Lambeth,Inner London,328900,"2,681",122.7,34.5,17.6,74.6,7.8,4.1,450000,29.8,34.4,17.3,7.1,7.5,7.2,3.5
Lewisham,Inner London,303400,"3,515",86.3,35,20.6,70.1,9.3,6.0,352000,28.1,23.6,22.5,7.2,7.6,7.3,3.4
Merton,Outer London,208100,"3,762",55.3,36.7,20.6,67.2,12.2,3.9,415000,16.2,29.3,34.6,7.3,7.5,7.1,3.6
Newham,Inner London,342900,"3,620",94.7,32.1,22.7,70.2,7,4.1,305000,31.4,42.5,23.9,7.1,7.4,7.2,3.4
Redbridge,Outer London,304200,"5,642",53.9,35.8,22.8,65,12.2,4.1,345000,11.3,24.1,40.6,7.3,7.6,7.3,3.2
Richmond upon Thames,Outer London,197300,"5,741",34.4,38.8,20.7,64.5,14.8,2.4,575000,8.7,21.9,50.8,7.5,7.8,7.3,3.2
Southwark,Inner London,314300,"2,886",108.9,34.4,18.6,73.5,7.9,4.7,475000,37.2,26.4,24.9,7.5,7.7,7.3,3.4
Sutton,Outer London,202600,"4,385",46.2,38.9,20.7,64.3,15.1,2.3,320000,11.6,20.5,32.0,7.5,7.7,7.3,3.2
Tower Hamlets,Inner London,304000,"1,978",153.7,31.4,20.1,73.9,6,3.2,415000,41.6,31.5,15.2,7.2,7.4,7.2,3.3
Waltham Forest,Outer London,276200,"3,881",71.2,35.1,21.8,67.9,10.3,3.5,366569,19.9,30.0,31.4,7.2,7.5,7.1,3.1
Wandsworth,Inner London,321000,"3,426",93.7,35,17.8,72.8,9.3,2.6,557000,19.3,31.2,26.9,7.4,7.6,7.4,3.6
Westminster,Inner London,242100,"2,149",112.7,37.7,15.9,72.3,11.7,3.5,920000,27.8,43.3,38.2,7.3,7.5,7.1,3.4
